si.dos
# , E (eV) ,  dos(E)    , Int dos(E) 
  ,-5.020,3.015E-01,1.43E-01
  ,-5.010,3.04E-01,1.461E-01
  ,-5.000,3.065E-01,1.491E-01
  ,-4.990,3.091E-01,1.522E-01
  ,-4.980,3.117E-01,1.553E-01
  ,-4.970,3.143E-01,1.584E-01
  ,-4.960,3.17E-01,1.616E-01
  ,-4.950,3.197E-01,1.648E-01
  ,-4.940,3.224E-01,1.68E-01
  ,-4.930,3.252E-01,1.712E-01
  ,-4.920,3.28E-01,1.745E-01
  ,-4.910,3.308E-01,1.778E-01
  ,-4.900,3.336E-01,1.811E-01
  ,-4.890,3.365E-01,1.844E-01
  ,-4.880,3.394E-01,1.878E-01
  ,-4.870,3.424E-01,1.912E-01
  ,-4.860,3.454E-01,1.947E-01
  ,-4.850,3.484E-01,1.981E-01
  ,-4.840,3.515E-01,2.016E-01
  ,-4.830,3.545E-01,2.052E-01
  ,-4.820,3.577E-01,2.087E-01
  ,-4.810,3.608E-01,2.123E-01
  ,-4.800,3.64E-01,2.159E-01
  ,-4.790,3.672E-01,2.196E-01
  ,-4.780,3.705E-01,2.233E-01
  ,-4.770,3.737E-01,2.27E-01
  ,-4.760,3.77E-01,2.308E-01
  ,-4.750,3.804E-01,2.345E-01
  ,-4.740,3.837E-01,2.384E-01
  ,-4.730,3.87E-01,2.422E-01
  ,-4.720,3.904E-01,2.461E-01
  ,-4.710,3.937E-01,2.5E-01
  ,-4.700,3.97E-01,2.54E-01
  ,-4.690,4.004E-01,2.58E-01
  ,-4.680,4.037E-01,2.62E-01
  ,-4.670,4.071E-01,2.66E-01
  ,-4.660,4.105E-01,2.701E-01
  ,-4.650,4.138E-01,2.743E-01
  ,-4.640,4.172E-01,2.784E-01
  ,-4.630,4.206E-01,2.826E-01
  ,-4.620,4.24E-01,2.868E-01
  ,-4.610,4.273E-01,2.911E-01
  ,-4.600,4.308E-01,2.954E-01
  ,-4.590,4.342E-01,2.997E-01
  ,-4.580,4.373E-01,3.04E-01
  ,-4.570,4.4E-01,3.084E-01
  ,-4.560,4.423E-01,3.128E-01
  ,-4.550,4.443E-01,3.173E-01
  ,-4.540,4.459E-01,3.217E-01
  ,-4.530,4.472E-01,3.262E-01
  ,-4.520,4.487E-01,3.307E-01
  ,-4.510,4.511E-01,3.352E-01
  ,-4.500,4.535E-01,3.397E-01
  ,-4.490,4.559E-01,3.442E-01
  ,-4.480,4.583E-01,3.488E-01
  ,-4.470,4.607E-01,3.534E-01
  ,-4.460,4.631E-01,3.58E-01
  ,-4.450,4.655E-01,3.627E-01
  ,-4.440,4.679E-01,3.673E-01
  ,-4.430,4.703E-01,3.72E-01
  ,-4.420,4.727E-01,3.767E-01
  ,-4.410,4.751E-01,3.815E-01
  ,-4.400,4.775E-01,3.862E-01
  ,-4.390,4.799E-01,3.91E-01
  ,-4.380,4.824E-01,3.958E-01
  ,-4.370,4.848E-01,4.007E-01
  ,-4.360,4.872E-01,4.055E-01
  ,-4.350,4.896E-01,4.104E-01
  ,-4.340,4.921E-01,4.153E-01
  ,-4.330,4.945E-01,4.203E-01
  ,-4.320,4.969E-01,4.252E-01
  ,-4.310,4.994E-01,4.302E-01
  ,-4.300,5.014E-01,4.352E-01
  ,-4.290,5.028E-01,4.402E-01
  ,-4.280,5.043E-01,4.453E-01
  ,-4.270,5.06E-01,4.503E-01
  ,-4.260,5.079E-01,4.554E-01
  ,-4.250,5.1E-01,4.605E-01
  ,-4.240,5.123E-01,4.656E-01
  ,-4.230,5.148E-01,4.707E-01
  ,-4.220,5.174E-01,4.759E-01
  ,-4.210,5.202E-01,4.811E-01
  ,-4.200,5.232E-01,4.863E-01
  ,-4.190,5.264E-01,4.915E-01
  ,-4.180,5.298E-01,4.968E-01
  ,-4.170,5.333E-01,5.021E-01
  ,-4.160,5.37E-01,5.075E-01
  ,-4.150,5.407E-01,5.129E-01
  ,-4.140,5.446E-01,5.183E-01
  ,-4.130,5.485E-01,5.238E-01
  ,-4.120,5.524E-01,5.293E-01
  ,-4.110,5.565E-01,5.348E-01
  ,-4.100,5.607E-01,5.404E-01
  ,-4.090,5.649E-01,5.46E-01
  ,-4.080,5.692E-01,5.517E-01
  ,-4.070,5.736E-01,5.574E-01
  ,-4.060,5.782E-01,5.632E-01
  ,-4.050,5.828E-01,5.69E-01
  ,-4.040,5.874E-01,5.748E-01
  ,-4.030,5.922E-01,5.807E-01
  ,-4.020,5.969E-01,5.867E-01
